20201021 11:01:22 Ganti pin condition : EDC serial port already open
20201021 11:01:22 Ganti pin condition : EDC serial port already open
20201021 11:01:22 Ganti pin condition : EDC serial port already open
20201021 11:01:23 Ganti pin condition : EDC serial port already open
20201021 11:01:23 Ganti pin condition : EDC serial port already open
20201021 11:01:23 Ganti pin condition : EDC serial port already open
20201021 11:01:23 Ganti pin condition : EDC serial port already open
20201021 11:01:23 Ganti pin condition : EDC serial port already open
20201021 11:01:23 Ganti pin condition : EDC serial port already open
20201021 11:01:23 Ganti pin condition : EDC serial port already open
20201021 11:01:24 Ganti pin condition : EDC serial port already open
20201021 11:01:24 Ganti pin condition : EDC serial port already open
20201021 11:01:24 Ganti pin condition : EDC serial port already open
20201021 11:01:24 Ganti pin condition : EDC serial port already open
20201021 11:01:24 Ganti pin condition : EDC serial port already open
20201021 11:01:24 Ganti pin condition : EDC serial port already open
20201021 11:01:25 Ganti pin condition : EDC serial port already open
20201021 11:01:25 Ganti pin condition : EDC serial port already open
20201021 11:01:25 Ganti pin condition : EDC serial port already open
20201021 11:01:25 Ganti pin condition : EDC serial port already open
20201021 11:01:25 Ganti pin condition : EDC serial port already open
20201021 11:01:25 Ganti pin condition : EDC serial port already open
20201021 11:01:26 Ganti pin condition : EDC serial port already open
20201021 11:01:26 Ganti pin condition : EDC serial port already open
20201021 11:01:26 Ganti pin condition : EDC serial port already open
20201021 11:01:26 Ganti pin condition : EDC serial port already open
20201021 11:01:26 Ganti pin condition : EDC serial port already open
20201021 11:01:26 Ganti pin condition : EDC serial port already open
20201021 11:01:27 Ganti pin condition : EDC serial port already open
20201021 11:01:27 Ganti pin condition : EDC serial port already open
20201021 11:01:27 Ganti pin condition : EDC serial port already open
20201021 11:01:27 Ganti pin condition : EDC serial port already open
20201021 11:01:27 Ganti pin condition : EDC serial port already open
20201021 11:01:27 Ganti pin condition : EDC serial port already open
20201021 11:01:27 Ganti pin condition : EDC serial port already open
20201021 11:01:28 Ganti pin condition : EDC serial port already open
